title,thumb,image,text,video,link,linktext
Coming Together,images/HandsinThumb.gif,images/Handsin.gif,"Our group, British Columbia One, or BC1 for short, met in Banff during the plenary sessions of the 2023 Commonwealth Study Conference. After introductions one of the first things we did was create a team charter, which you can see below. One of the next things we did was film this video!",,https://drive.google.com/file/d/1VNy6qvfCb6KZxsJC9o9iJ5sSnqTa-2Ov/view?usp=drive_link,BC1 Team Charter
Athabasca Glacier,images/Glacier.jpeg,images/Glacier.jpeg,"Despite the bus breakdowns we made it to the glacier and Mik Allchin provided us with perspective on its deterioration in the face of the climate crisis,",https://www.youtube.com/watch?v=OqoncMi-evA,,
Community,images/CommunityText.png,images/CommunityAtUBC.jpg,The importance of community was one of the key themes that came up again and again throughout our journey. This was a mural at UBC farm.,,,
"Lakeland Mills, Prince George",images/LakeLand360.jpeg,images/LakeLand360.jpeg,"We were given a tour of Lakeland Mills, a lumber mill in Prince George. ",,https://kuula.co/share/collection/7Jhjb?logo=1&info=1&fs=1&vr=0&sd=1&thumbs=1,Follow along with this 360 tour we made of the mill
Kali and Omar on the Piano,images/Piano.png,images/Piano.png,Omar and Kali showing some musical teamwork in Wells. Shout out to the strange hole in the floor in one of the guesthouses we stayed in.,https://youtu.be/NwMp70TRnoE,,
Whitewater Rafting on the Thompson River,images/raftwave.jpeg,images/Rafting.gif,"Caroline: We shared being in front, so that everyone had the chance to get wet and cold… It was awesome! We learnt that sometimes the water is calm but sometimes the icy cold water slaps you in the face. (If you didn’t get that, that experience was a metaphor for leadership—ultimately, it can be icy and cold and wet but we can share the load).",,https://photos.app.goo.gl/ASEzzR5dTcSyWbDL7,A photo album of our rafting experience
Packing House Coffee,images/PackingShed1.jpeg,images/PackingShed.jpeg,"Met with Steve Paulette and Sally.
Nicole: Highlighted point for local leaders to make connections at provincial and federal level to open up lines of communication to enact change. Cache Creek Packing House owner Steve was former local government official who made connection at provincial level so that he could have important meetings allowing things such as road development and fishing restrictions could be passed.
Trish: I keep coming back to the notion of consultation - if you ask those who are local, they will work with you and help you. Example, if they had consulted, they could have prevented the decimation of the trout population at Steelhead.",,,
Kirby,images/Kirby.jpg,images/Kirby.jpg,"Kirby was our legendary tour organiser, who we met for the first time in Squamish",,,
Lumina,images/Lumina.jpeg,images/Lumina.jpeg,This was an amazing light show we went to in the woods near Whistler,images/Campfire.mp4,https://photos.app.goo.gl/KNE9FodgqaWhqFRm9,An album of our time at Lumina
Eduardo,images/Eduardo.jpeg,images/Eduardo.jpeg,Eduardo curated the xʷc̓ic̓əsəm Garden on the Community Farm at UBC,https://www.youtube.com/watch?v=Ul6sIvuHwmY,,
Brittani Golden Eagle from SLCC,images/Britt.png,images/BrittaniCollage.png,This is Brittani Golden Eagle who was our guide through the Squamish Lil’wat Cultural Center (SLCC),,,
Ismali Mosque,images/IsmaliStairs.jpeg,images/IsmaliStairs.jpeg,"The Ismali Centre is full of octagonal designs, including this staircase. The octagon, a fusion of a square and a circle, has significance in Islam",,,
The Generations Who Have Gone Before,images/GigGig.png,images/GigGig.png,"Ed's grandpa, Edward Guinness, was invited by the Duke of Edinburgh to the first CSC in 1956.
Kali: We have been fortunate to learn so much from many generations of CSC alum on our journey and we hope to return the favour and inform the CSC members of the near & distant future, passing on that torch of knowledge - “Seven generations in the past, seven generations in the future…”",,,
Northern Lights Winery,images/Winery.jpeg,images/Winery.jpeg,We stopped at a beautiful winery in Prince George,,https://www.northernlightswinery.ca/,Northern Lights Winery
Wildfires,images/wildfire.gif,images/wildfire.gif,"The challenges faced are real and urgent, climate change being one of the largest. We heard a lot about wildfires during our trip and saw the devastation that they can cause.",https://www.youtube.com/watch?v=ffXMLFWQS8M,https://www.bbc.co.uk/news/articles/c9wv2902y98o," After we returned home, Jasper, where we had been staying was ravaged by fire and we witnessed shocking pictures of the town in ashes."
The Wampum,images/Wampum.png,images/Wampum.png,"This is the Two Row Wampum, a treaty made between the Dutch and the Haudenosaunee in the 17th century. We learned about this from Rebekah Ingram, who we chatted with a week later over a video call that you can watch here. We liked the concept of the canoe and the ship so much that it became of our presentation.",https://www.youtube.com/watch?v=qUDg7DZmWNY,https://www.onondaganation.org/culture/wampum/two-row-wampum-belt-guswenta/,You can read more about it in this article from the Onondaga Nation
Maligne Lake,images/BoatMaligne.gif,images/MaligneLake.jpg,"This lake was absolutely stunning, if you could only show someone one image to define the word ""nature"" this might well be it.
Nciole: From Dr Mik we Learned the term two-eyed observation which is a respectful approach between scientific and indigenous communities where ""one eye"" is the traditional/indigenous method and the other eye is the scientific approach.
Kai: We also need to stop with overconsulting and work out a path to delivering true value. Dr Mik lit the burning platform but we now need action",,,
Lumber Mill Automation,images/Timber.gif,images/LakelandControl.jpg,"Lots of processes at the mill had been automated, lumber was scanned to check how it should be cut and for quality.",,,
A Strange Bike in Wells,images/BikeInWells.jpeg,images/BikeInWells.jpeg,"This was a crazy bike we came across in Wells, that you kind of needed to jump on and start pedalling at the same time. There's not necessarily a cute analogy here, but I guess it's not unlike the Study Conference experience where you have to jump in and start moving quickly else you'll fall over!",https://www.youtube.com/watch?v=izO6jsEgk_U,,
Bernie and Lorna from Kumsheen Rafting,images/BernieandLorna.jpeg,images/BernieAndLornaTalk.jpg,"They started their business 50 years (to the day) before we arrived!
Adele: Entrepreneurship is hard work - with or without employees. Remain focused on vision. Start small than expand. Listen to all stakeholders but must develop the ability to know whom to listen too.
Su: When no one has heard of river rafting and even question the sustainability of the business, they were firm believers of their own passion, overcoming obstacles and eventually build up the adventure tourism in Lytton and go on to create awareness on the importance of river ecology and the effect of climate change on Thomson River. And when the wild forest fire engulfed Lytton they immediately begin rebuilding, knowing many families depend on Kumsheen to put food on their tables.
Trish: Having a community helps people get through the difficult times - theater, art, music programs provide a place to gather, be together, be involved
Nicole: Community focused business can still be profitable and provide a great place to work. Kumsheen rafting is a family owned for-profit business which caters to the need of the community. Bank burned down = Scotiabank temporary bank on property. Forestry worker housing burnt down = open up space on property. Company pushing government to take action by staying involved and holding inaction accountable.",,,
Derek,images/Derek.png,images/DerekTour.jpg,Most engaging tour guide ever!,,https://www.britanniaminemuseum.ca/,At the Britannia Mine Museum
Sea to Sky Gondola,images/Gondola.png,images/Gondola.mp4,The amazing Sea to Sky Gondola,,,
Sleeping on the Bus,images/SuSleeping.png,images/BusSleepCollage.jpg,"This was a tiring trip, so we often caught some shut eye on the bus and Su was then on hand to catch us sleeping in our most flattering poses. We did catch her once though!",,,
University of Vancouver,images/Whale360.jpg,images/Whale360.jpg,An incredible whale exhibit at UBC Biodiversity Museum,,,
Kai Chan,images/Kai-Chan-Headshot_hi-res-768x512.jpeg,images/FishingHall.png,"We had a series of great talks at UBC, including by Kai Chan",,https://ires.ubc.ca/kai-chan/,Kai's Profile
Imani Centre,images/ImaniCentre.jpeg,images/ImaniCentre.jpeg,The Ismali Centre in Vancouver welcomed us for a meal ,,https://the.ismaili/gb/en/spaces/ismaili-centre-vancouver,The Ismali Centre Website
Sarah McLachlan School of Music,images/SarahMusicSchool.jpg,images/SarahMusicSchool.jpg,"The Sarah McLachlan School of Music is creating barrier free space. Free admission, free food, free transportation, etc.",https://www.youtube.com/watch?v=hfo5MwINq7o,,
Baseball,images/Baseball.jpeg,images/MayorBaseball.jpeg,We went to the baseball with the Mayor! Cracking finish!,,,
